company_id,year,sales,operating_profit,net_profit,other_income,interest,equity,borrowings,total_assets,investments,net_profit_margin,operating_profit_margin,roe_percentage,roa_percentage,debt_to_equity,roce_percentage,interest_coverage_ratio,net_debt,asset_turnover
SBILIFE,Mar 2023,80636,122.0,1721,1862,10,1001.0,0,314599,303988,2.13,0.15,171.93,0.55,0.0,12.19,198.4,-303988,0.26
SHREECEM,Mar 2023,17852,2960.0,2369,459,263,36.0,2725,26334,8683,13.27,16.58,6580.56,9.0,75.69,107.21,13.0,-5958,0.68
SHRIRAMFIN,Mar 2023,30492,8799.0,6020,16,12987,374.0,164202,210573,7430,19.74,28.86,1609.63,2.86,439.04,5.35,0.68,156772,0.14
SUNPHARMA,Mar 2023,43886,11650.0,8513,459,172,240.0,6886,80712,14824,19.4,26.55,3547.08,10.55,28.69,163.49,70.4,-7938,0.54
TATACONSUM,Mar 2023,13783,1856.0,1320,328,130,93.0,1600,22762,1433,9.58,13.47,1419.35,5.8,17.2,109.63,16.8,167,0.61
TATAMOTORS,Mar 2023,345967,31816.0,2690,6664,10225,766.0,134113,334674,26379,0.78,9.2,351.17,0.8,175.08,23.59,3.76,107734,1.03
TATAPOWER,Mar 2023,55109,7728.0,3810,5540,4372,320.0,52923,128096,16670,6.91,14.02,1190.62,2.97,165.38,14.51,3.03,36253,0.43
TATASTEEL,Mar 2023,243353,32300.0,8075,1569,6299,1221.0,84893,285396,8410,3.32,13.27,661.34,2.83,69.53,37.51,5.38,76483,0.85
TCS,Mar 2023,225458,59259.0,42303,3449,779,366.0,7688,142859,37163,18.76,26.28,11558.2,29.61,21.01,735.77,80.5,-29475,1.58
TECHM,Mar 2023,53290,7763.0,4857,965,326,440.0,2740,45827,3388,9.11,14.57,1103.86,10.6,6.23,244.12,26.77,-648,1.16
TECHM,Mar 2023,53290,7763.0,4857,965,326,440.0,2740,45827,3388,9.11,14.57,1103.86,10.6,6.23,244.12,26.77,-648,1.16
TITAN,Mar 2023,40575,4882.0,3274,306,300,89.0,9367,27020,2515,8.07,12.03,3678.65,12.12,105.25,51.63,17.29,6852,1.5
TORNTPHARM,Mar 2023,9620,2842.0,1245,45,333,169.0,5369,14610,199,12.94,29.54,736.69,8.52,31.77,51.32,8.67,5170,0.66
TRENT,Mar 2023,8242,1114.0,394,341,409,36.0,4464,8082,1110,4.78,13.52,1094.44,4.88,124.0,24.76,3.56,3354,1.02
TVSMOTOR,Mar 2023,31974,4027.0,1309,136,1368,48.0,22376,35025,967,4.09,12.59,2727.08,3.74,466.17,17.96,3.04,21409,0.91
ULTRACEMCO,Mar 2023,63240,10620.0,5073,507,823,289.0,11058,91380,7297,8.02,16.79,1755.36,5.55,38.26,93.59,13.52,3761,0.69
UNIONBANK,Mar 2023,81163,-3024.0,8512,15915,48033,6835.0,1163059,1288357,343727,10.49,-3.73,124.54,0.66,170.16,-0.26,0.27,819332,0.06
ABB,Mar 2024,5849,1453.0,1201,248,12,21.0,83,5193,0,20.53,24.84,5719.05,23.13,3.95,1397.12,141.75,83,1.13
ADANIENSOL,Mar 2024,16607,5711.0,1196,611,2767,1115.0,37070,58538,766,7.2,34.39,107.26,2.04,33.25,14.96,2.28,36304,0.28
ADANIENT,Mar 2024,96421,11377.0,3335,1146,4555,114.0,65310,160586,8701,3.46,11.8,2925.44,2.08,572.89,17.39,2.75,56609,0.6
